GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Jacques Demers,0.237,0.293,0.179,0.287,19,0,1,['Tampa Bay Lightning']
Fred Glover,0.234,0.363,0.08,0.288,40,0,3,"['California Golden Seals', 'California Golden Seals']"
Joe Will,0.231,0.4,0.125,0.385,3,0,1,['San Jose Sharks']
Ernest Savard,0.229,0.208,0.25,0.344,11,0,1,['Montréal Canadiens']
Cy Denneny,0.229,0.333,0.125,0.333,11,0,1,['Ottawa Senators (1917)']
Garry Young,0.225,0.281,0.167,0.333,25,0,3,['California Golden Seals']
Bill MacMillan,0.206,0.292,0.121,0.281,37,0,3,['New Jersey Devils']
Bert Olmstead,0.203,0.324,0.081,0.318,15,0,1,['Oakland Seals']
Baz Bastien,0.183,0.471,0.225,0.272,193,0,8,"['Pittsburgh Penguins', 'Kansas City Scouts']"
Mike Quinn,0.167,0.333,0.0,0.167,4,0,1,['Quebec Bulldogs']
Mel Bridgman,0.119,0.214,0.024,0.143,10,0,1,['Ottawa Senators']
Frank Fredrickson,0.114,0.227,0.0,0.148,5,0,1,['Pittsburgh Pirates']
Cooper Smeaton,0.091,0.136,0.045,0.136,4,0,1,['Philadelphia Quakers']
Lou Angotti,0.0,0,0.0,0.0,0,0,1,['St. Louis Blues']
