Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Bob Pulford,0.438,0.523,0.36,0.51,160,360,12,0,"['Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks', 'Chicago Blackhawks', 'Los Angeles Kings']"
Jim Schoenfeld,0.438,0.507,0.363,0.503,43,256,10,0,"['Buffalo Sabres', 'New Jersey Devils', 'Washington Capitals', 'Phoenix Coyotes']"
Dunc Munro,0.438,0.562,0.312,0.516,32,14,1,0,['Montreal Maroons']
Marc Boileau,0.437,0.592,0.3,0.517,151,66,3,0,['Pittsburgh Penguins']
Wayne Gretzky,0.436,0.469,0.402,0.473,328,143,4,0,['Phoenix Coyotes']
Dave Hakstol,0.436,0.479,0.392,0.494,277,177,6,0,"['Philadelphia Flyers', 'Seattle Kraken']"
Eddie Johnston,0.436,0.557,0.316,0.515,80,266,8,0,"['Chicago Blackhawks', 'Pittsburgh Penguins', 'Pittsburgh Penguins']"
Bob Boughner,0.435,0.494,0.376,0.502,175,147,5,0,"['San Jose Sharks', 'Florida Panthers']"
Claude Noel,0.434,0.525,0.304,0.522,177,90,4,0,"['Winnipeg Jets', 'Columbus Blue Jackets']"
Glen Sather,0.433,0.508,0.355,0.518,90,497,13,4,"['New York Rangers', 'Edmonton Oilers', 'Edmonton Oilers']"
Jean Perron,0.433,0.533,0.33,0.491,240,142,4,1,"['Montréal Canadiens', 'Quebec Nordiques']"
Pete Muldoon,0.432,0.545,0.318,0.466,44,19,1,0,['Chicago Blackhawks']
Terry Simpson,0.431,0.514,0.348,0.484,84,159,6,0,"['Philadelphia Flyers', 'New York Islanders', 'Winnipeg Jets (1979)']"
Mike Milbury,0.43,0.498,0.363,0.494,160,147,6,0,"['Boston Bruins', 'New York Islanders']"
Conn Smythe,0.43,0.522,0.333,0.504,135,58,5,0,['Toronto Maple Leafs']
Bill Dineen,0.429,0.571,0.286,0.5,140,60,2,0,['Philadelphia Flyers']
Percy LeSueur,0.429,0.833,0.125,0.429,14,6,1,0,['Hamilton Tigers']
