Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Paul Maurice,Carolina Hurricanes,0.471,0.553,0.39,0.532,116,4,0
Jack Capuano,New York Islanders,0.47,0.47,0.47,0.536,227,7,0
Eddie Powers,Toronto St. Patricks,0.47,0.636,0.303,0.492,31,2,0
John Muckler,Edmonton Oilers,0.469,0.562,0.375,0.531,75,2,1
Peter Laviolette,New York Islanders,0.469,0.476,0.463,0.546,77,2,0
Roger Neilson,Toronto Maple Leafs,0.469,0.512,0.425,0.541,75,2,0
Todd Richards,Minnesota Wild,0.469,0.537,0.402,0.518,77,2,0
Ron Wilson,Washington Capitals,0.468,0.537,0.4,0.54,192,5,0
Bob Hartley,Atlanta Thrashers,0.467,0.503,0.431,0.531,136,5,0
Jim Roberts,Buffalo Sabres,0.467,0.619,0.333,0.556,21,1,0
Barry Trotz,Nashville Predators,0.466,0.525,0.406,0.533,557,15,0
Claude Julien,Montréal Canadiens,0.466,0.475,0.457,0.529,129,5,0
John Muckler,Buffalo Sabres,0.466,0.582,0.351,0.53,125,4,0
Craig Berube,Philadelphia Flyers,0.466,0.58,0.35,0.553,75,2,0
Marc Crawford,Vancouver Canucks,0.465,0.502,0.428,0.554,246,7,0
Bob Berry,St. Louis Blues,0.465,0.553,0.383,0.532,73,2,0
Lester Patrick,New York Rangers,0.465,0.497,0.434,0.554,281,13,2
Orval Tessier,Chicago Blackhawks,0.465,0.623,0.308,0.514,99,3,0
Ted Sator,Buffalo Sabres,0.464,0.547,0.376,0.517,96,3,0
Don Hay,Phoenix Coyotes,0.463,0.366,0.561,0.506,38,1,0
Paul Maurice,Toronto Maple Leafs,0.463,0.476,0.451,0.53,76,2,0
Scotty Bowman,St. Louis Blues,0.462,0.585,0.342,0.557,110,4,0
Todd McLellan,Edmonton Oilers,0.462,0.508,0.418,0.507,123,4,0
Michel Bergeron,New York Rangers,0.462,0.544,0.38,0.519,73,2,0
Joe Primeau,Toronto Maple Leafs,0.462,0.533,0.391,0.562,97,3,1
Ken Schinkel,Pittsburgh Penguins,0.462,0.581,0.327,0.547,54,2,0
Johnny Wilson,Detroit Red Wings,0.462,0.611,0.315,0.538,67,2,0
David Quinn,New York Rangers,0.462,0.476,0.447,0.522,96,3,0
Herb Brooks,New York Rangers,0.46,0.538,0.379,0.532,131,4,0
Mike Keenan,St. Louis Blues,0.46,0.469,0.451,0.528,75,3,0
Peter DeBoer,New Jersey Devils,0.46,0.512,0.409,0.542,114,4,0
Harry Sinden,Boston Bruins,0.46,0.595,0.324,0.552,136,4,1
Craig MacTavish,Edmonton Oilers,0.459,0.512,0.406,0.537,301,8,0
Todd McLellan,Los Angeles Kings,0.459,0.487,0.432,0.515,106,4,0
Harry Sinden,Boston Bruins,0.458,0.545,0.385,0.521,11,1,0
Andy Murray,St. Louis Blues,0.457,0.485,0.43,0.531,118,4,0
Michel Bergeron,Quebec Nordiques,0.457,0.557,0.354,0.528,253,7,0
Bob Hartley,Calgary Flames,0.456,0.517,0.395,0.498,134,4,0
John Stevens,Philadelphia Flyers,0.456,0.467,0.445,0.521,120,4,0
Fred Shero,New York Rangers,0.456,0.494,0.418,0.522,82,3,0
Kevin Constantine,Pittsburgh Penguins,0.455,0.505,0.406,0.558,86,3,0
Jim Schoenfeld,Washington Capitals,0.454,0.5,0.406,0.522,113,4,0
Ted Nolan,New York Islanders,0.454,0.481,0.427,0.518,74,2,0
Claude Julien,Montréal Canadiens,0.453,0.512,0.392,0.531,72,3,0
Dave Tippett,Phoenix Coyotes,0.453,0.511,0.396,0.52,282,8,0
Butch Goring,Boston Bruins,0.452,0.568,0.347,0.521,42,2,0
Rick Dudley,Buffalo Sabres,0.452,0.511,0.394,0.535,85,3,0
Steve Stirling,New York Islanders,0.452,0.557,0.349,0.52,56,2,0
Claude Noel,Winnipeg Jets,0.452,0.517,0.386,0.503,80,3,0
Bill Mahoney,Minnesota North Stars,0.452,0.5,0.4,0.516,42,2,0
Tom McVie,New Jersey Devils,0.452,0.622,0.292,0.532,42,2,0
Jim Schoenfeld,Phoenix Coyotes,0.451,0.512,0.39,0.524,74,2,0
Bob Pulford,Los Angeles Kings,0.45,0.54,0.359,0.535,178,5,0
Brad Shaw,New York Islanders,0.45,0.524,0.368,0.5,18,1,0
Rick Bowness,Boston Bruins,0.45,0.575,0.325,0.525,36,1,0
Dick Carroll,Toronto Arenas,0.45,0.75,0.15,0.45,18,2,1
Pierre Creamer,Pittsburgh Penguins,0.45,0.55,0.35,0.506,36,1,0
Bob Pulford,Chicago Blackhawks,0.449,0.543,0.355,0.519,84,3,0
Bill Gadsby,Detroit Red Wings,0.449,0.615,0.282,0.526,35,2,0
Eddie Gerard,Montreal Maroons,0.449,0.472,0.427,0.517,80,5,1
Andy Murray,Los Angeles Kings,0.448,0.496,0.4,0.541,215,6,0
Fred Creighton,Atlanta Flames,0.448,0.54,0.355,0.529,156,5,0
Don Waddell,Atlanta Thrashers,0.447,0.5,0.395,0.5,34,1,0
Jacques Lemaire,Minnesota Wild,0.447,0.524,0.369,0.529,293,8,0
Jacques Martin,Florida Panthers,0.447,0.537,0.358,0.52,110,3,0
