Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Craig Patrick,Pittsburgh Penguins,0.2,0.5,,0.2,1,1,0
Larry Pleau,Hartford Whalers,0.2,0.2,0.2,0.2,2,2,0
Steve Stirling,New York Islanders,0.2,,0.333,0.2,1,1,0
Herb Brooks,New Jersey Devils,0.2,0.5,,0.2,1,1,0
Ted Nolan,New York Islanders,0.2,,0.333,0.2,1,1,0
Jacques Lemaire,New Jersey Devils,0.2,0.333,,0.2,1,1,0
Bruce Boudreau,Minnesota Wild,0.2,0.2,0.2,0.2,2,2,0
Alf Smith,Ottawa Senators (1917),0.2,0.5,,0.2,1,1,0
Kevin Lowe,Edmonton Oilers,0.2,0.5,,0.2,1,1,0
Jean-Guy Talbot,St. Louis Blues,0.2,0.5,,0.2,1,1,0
Steve Kasper,Boston Bruins,0.2,0.5,,0.2,1,1,0
Bill Peters,Calgary Flames,0.2,0.333,,0.2,1,1,0
Mike Johnston,Pittsburgh Penguins,0.2,,0.333,0.2,1,1,0
Bob Francis,Phoenix Coyotes,0.2,0.25,0.167,0.2,2,2,0
Mike Kitchen,St. Louis Blues,0.2,0.5,,0.2,1,1,0
